id,name_eng,name_chin,description_eng,description_chin,expressive,analytic,driver,amiable,suitable_subjects,time_consumption,study_focus,Beginner,Intermediate,Advanced,beginner_suggestions_eng,beginner_suggestions_chin,intermediate_suggestions_eng,intermediate_suggestions_chin,advanced_suggestions_eng,advanced_suggestions_chin
16,Image Memory Method,圖像記憶法,Memorize one page of notes as one image. This method is effective for visual learners.,以圖像形式記憶一頁的筆記。這對視覺學習者特別有效。,0,1,0,0,All,low,"Memory Enhancement Techniques, Visual Representation and Conceptualization Tools",0,1,1,N/A,N/A,Start with simple diagrams and images.,從簡單的圖表和圖像開始,"Experiment with more complex images, diagrams, or infographics.",嘗試更複雜的圖像、圖表或信息圖
17,How to tidy up your notes/past papers/resources,整理筆記/歷届試題/資料,"Organize resources by sources, subjects, and topics for quick access during revision.",將資源按來源（學校/補習班）分類，再按科目和主題進行整理，以便在復習時快速找到所需資源。,0,1,1,0,All,low,"Note-Taking and Organization Methods, Study Environment Preparation",1,1,1,Organize simple resources and notes.,將簡單的資源和筆記進行整理。,Develop a more detailed organization system.,開發更詳細的組織系統。,Continuously review and adapt the system as necessary.,持續審查和調整系統以適應需要。
18,Diagrams,圖解,Use diagrams to help learn and understand concepts. It provides a visual representation to aid memory.,使用圖表幫助學習和理解概念。它提供了視覺化的表達方式，有助於記憶。,0,1,0,0,"Science, Maths",low,"Visual Representation and Conceptualization Tools, Note-Taking and Organization Methods",1,1,1,Learn to draw simple diagrams.,學習繪製簡單的圖表,Learn to interpret complex diagrams.,學習解讀複雜的圖表,Create own diagrams to illustrate complex concepts.,創建自己的圖表以說明複雜的概念
19,Sticky Notes Method,便利貼法,"Cover a page in sticky notes with relevant information, then incorporate these into your notes.",用便利貼覆蓋一頁的內容，然後將其融入筆記中。,1,0,0,0,All,low,"Note-Taking and Organization Methods, Memory Enhancement Techniques",0,1,1,N/A,N/A,Start with using sticky notes for main points.,使用便利貼記錄主要觀點,"Use sticky notes to add supplementary information, questions, or insights.",使用便利貼添加補充信息、問題或見解
20,Summary Notes,摘要筆記,Summarize notes into main points with examples. It provides an overview and quick revision method.,將筆記縮寫為主要觀點和示例。提供一個概述和快速複習的方法。,0,1,1,0,All,low,Note-Taking and Organization Methods,1,1,1,Summarize main points from texts.,從文本中摘錄主要觀點,Include examples to support points.,為每個觀點提供至少一個例子,Use summary notes for active recall practice.,將摘要筆記用於主動回憶練習
21,Topic Past Paper Questions,歷届試題,Practice past paper questions for each topic after revision and track progress.,在復習每個主題後進行過去試題練習並追踪進度。,0,1,0,0,All,low,Active Learning Strategies,1,1,1,Practice past questions after learning each topic.,在學習每個主題後進行過去試題練習,Review and understand mistakes made in past questions.,詳細了解並修正錯誤答案,Analyze patterns in mistakes and address them.,分析錯誤模式並加以處理
22,Spaced Repetition,間隔重複法,Review new concepts at increasing intervals. This aids long-term memory retention.,在遞增的間隔中複習新概念。有助於長期記憶保持。,0,1,1,0,All,middle,"Memory Enhancement Techniques, Active Learning Strategies",1,1,1,Practice this method with simple facts.,適應簡單事實的間隔複習,Incorporate complex concepts in the practice.,將複雜概念納入複習中,Experiment with the length of intervals for optimal learning.,根據個人學習習慣調整間隔時長
23,Active Spaced Repetition,主動間隔重複法,Actively recall content before reviewing it at spaced intervals. Helps identify weak areas.,在進行間隔複習之前，主動回憶內容。有助於識別薄弱領域。,0,1,1,0,All,middle,"Memory Enhancement Techniques, Active Learning Strategies",1,1,1,Start with recalling simple facts.,從簡單事實開始主動回憶,Incorporate complex concepts in the practice.,在複習中納入較複雜的概念,Review performance trends and adjust study strategies accordingly.,檢視績效趨勢並根據需要調整學習策略
24,Analysing texts,文本分析法,Use TEAPCALIM acronym to analyze texts. It aids in understanding and interpreting texts.,使用TEAPCALIM縮寫來分析文本。有助於理解和解讀文本。,0,1,0,0,Language,low,Critical Thinking and Problem-Solving Approaches,0,1,1,N/A,N/A,Start with analyzing simpler texts.,從分析簡單文本開始,Analyze complex texts and extract deeper meanings.,分析複雜文本並提取更深層含義
25,Vocab Book,詞匯本,Store useful vocab for language learning. It aids in expanding vocabulary.,儲存有用的單詞，以擴大詞彙量。,1,0,0,0,Language,low,"Reading and Comprehension Strategies, Memory Enhancement Techniques",1,1,1,Store new words and their meanings.,儲存新單詞及其意思,Add synonyms and category tags.,添加同義詞和分類標籤,Include sample sentences and related topics.,包含例句和相關主題
26,Question Booklet,錯題簿,"Keep track of questions you got wrong in past papers, understand why and correct them.",記錄在過去試卷中回答錯誤的問題，理解錯誤的原因並進行糾正。,0,1,1,0,All,low,"Note-Taking and Organization Methods, Memory Enhancement Techniques",1,1,1,Keep a record of incorrect answers.,記錄答錯的問題,Understand the mistakes and correct answers.,理解錯誤和正確的解答方法,Review trends in mistakes and address them.,回顧錯誤模式並進行修正
27,White Board Active Recalling,白板主動回憶法,Use a whiteboard to write and recall something you want to remember.,使用白板寫下要記住的內容，盡量用最少的字數，然後回憶已寫下的內容。,1,0,0,0,All,middle,Memory Enhancement Techniques,1,1,1,Write simple facts or concepts and recall them.,寫下簡單事實或概念並回憶,Include more complex concepts or facts.,包含更複雜的概念或事實,Use this method for group study and discussion.,用於團體學習和討論
